year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2050,Bulgaria,Europe,Base,2.396,0.86,18.05,40.1,0.0,0.0,2.396,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Bulgaria,Europe,Accelerated,2.514,0.86,18.94,42.08,0.0,0.0,2.514,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Canada,North America,Conservative,10.382,0.86,78.21,13.04,0.0,0.0,10.382,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Canada,North America,Base,10.382,0.86,78.21,13.04,0.0,0.0,10.382,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Canada,North America,Accelerated,10.382,0.86,78.21,13.04,0.0,0.0,10.382,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Canada,North America,Conservative,10.486,0.86,79.0,13.17,0.165,0.0,10.321,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Canada,North America,Base,10.524,0.86,79.28,13.21,0.225,0.0,10.299,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Canada,North America,Accelerated,10.562,0.86,79.57,13.26,0.285,0.0,10.277,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Canada,North America,Conservative,10.486,0.86,79.0,13.17,0.165,0.0,10.321,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Canada,North America,Base,10.524,0.86,79.28,13.21,0.225,0.0,10.299,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Canada,North America,Accelerated,10.562,0.86,79.57,13.26,0.285,0.0,10.277,Scenario engine using processed reactor pipeline and sample/ingested context
2030,China,Asia,Conservative,57.375,0.86,432.24,4.57,0.0,0.0,57.375,Scenario engine using processed reactor pipeline and sample/ingested context
2030,China,Asia,Base,59.445,0.86,447.84,4.74,0.0,0.0,59.445,Scenario engine using processed reactor pipeline and sample/ingested context
2030,China,Asia,Accelerated,61.516,0.86,463.44,4.9,0.0,0.0,61.516,Scenario engine using processed reactor pipeline and sample/ingested context
2040,China,Asia,Conservative,57.375,0.86,432.24,4.57,0.0,0.0,57.375,Scenario engine using processed reactor pipeline and sample/ingested context
2040,China,Asia,Base,59.445,0.86,447.84,4.74,0.0,0.0,59.445,Scenario engine using processed reactor pipeline and sample/ingested context
2040,China,Asia,Accelerated,61.516,0.86,463.44,4.9,0.0,0.0,61.516,Scenario engine using processed reactor pipeline and sample/ingested context
2050,China,Asia,Conservative,57.375,0.86,432.24,4.57,0.0,0.0,57.375,Scenario engine using processed reactor pipeline and sample/ingested context
2050,China,Asia,Base,59.445,0.86,447.84,4.74,0.0,0.0,59.445,Scenario engine using processed reactor pipeline and sample/ingested context
2050,China,Asia,Accelerated,61.516,0.86,463.44,4.9,0.0,0.0,61.516,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Czech Republic,Europe,Conservative,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Czech Republic,Europe,Base,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Czech Republic,Europe,Accelerated,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Czech Republic,Europe,Conservative,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Czech Republic,Europe,Base,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Czech Republic,Europe,Accelerated,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Czech Republic,Europe,Conservative,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Czech Republic,Europe,Base,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Czech Republic,Europe,Accelerated,3.76,0.86,28.33,33.33,0.0,0.0,3.76,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Egypt,Africa,Conservative,0.882,0.86,6.65,3.17,0.0,0.0,0.882,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Egypt,Africa,Base,1.203,0.86,9.06,4.32,0.0,0.0,1.203,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Egypt,Africa,Accelerated,1.524,0.86,11.48,5.47,0.0,0.0,1.524,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Egypt,Africa,Conservative,1.238,0.86,9.32,4.44,0.0,0.0,1.238,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Egypt,Africa,Base,1.688,0.86,12.71,6.05,0.0,0.0,1.688,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Egypt,Africa,Accelerated,2.138,0.86,16.11,7.67,0.0,0.0,2.138,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Egypt,Africa,Conservative,1.238,0.86,9.32,4.44,0.0,0.0,1.238,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Egypt,Africa,Base,1.688,0.86,12.71,6.05,0.0,0.0,1.688,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Egypt,Africa,Accelerated,2.138,0.86,16.11,7.67,0.0,0.0,2.138,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Finland,Europe,Conservative,4.362,0.86,32.86,36.51,0.0,0.0,4.362,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Finland,Europe,Base,4.362,0.86,32.86,36.51,0.0,0.0,4.362,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Finland,Europe,Accelerated,4.362,0.86,32.86,36.51,0.0,0.0,4.362,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Finland,Europe,Conservative,4.714,0.86,35.52,39.46,0.0,0.0,4.714,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Finland,Europe,Base,4.843,0.86,36.48,40.54,0.0,0.0,4.843,Scenario engine using processed reactor pipeline and sample/ingested context
